TIMESTAMP,LE,FILLED,QC,HAT,SAMPLE,STDDEV,METHOD,QC_HAT,TIMEWINDOW
200801080430,-9999,3.02742,3,3.02742,5,1.63231,3,3,451
200801080500,-9999,3.70279,3,3.70279,5,1.29193,3,3,451
200801080530,-9999,3.41952,3,3.41952,5,1.22415,3,3,451
200801080600,-9999,3.40617,3,3.40617,5,1.23508,3,3,451
200801080630,-9999,3.79566,3,3.79566,5,0.957462,3,3,451
200801080700,-9999,4.43307,3,4.43307,5,2.16855,3,3,451
200801080730,-9999,6.1343,3,6.1343,5,4.39377,3,3,451
200801080800,-9999,10.3912,3,10.3912,5,8.80641,3,3,451
200801080830,-9999,19.7637,3,19.7637,5,18.265,3,3,451
200801080900,-9999,30.6574,3,30.6574,5,22.2776,3,3,451
200801080930,-9999,41.3196,3,41.3196,5,21.5172,3,3,451
200801081000,-9999,49.0611,3,49.0611,5,14.628,3,3,451
200801081030,-9999,63.5705,3,63.5705,5,19.2681,3,3,451
200801081100,-9999,69.5222,3,69.5222,5,18.3867,3,3,451
200801081130,-9999,75.2363,3,75.2363,5,18.5122,3,3,451
200801081200,-9999,78.4635,3,78.4635,5,16.8257,3,3,451
200801081230,-9999,86.6287,3,86.6287,5,8.34705,3,3,451
200801081300,-9999,101.612,3,101.612,5,39.7215,3,3,451
200801081330,-9999,119.106,3,119.106,5,46.1263,3,3,451
200801081400,-9999,135.429,3,135.429,5,46.3595,3,3,451
200801081430,-9999,149.326,3,149.326,5,33.2162,3,3,451
200801081500,-9999,158.717,3,158.717,5,14.4988,3,3,451
200801081530,-9999,154.471,3,154.471,5,12.6908,3,3,451
200801081600,-9999,121.883,3,121.883,6,51.4253,3,3,451
200801081630,-9999,95.9776,3,95.9776,7,52.3538,3,3,451
200801081700,-9999,77.1463,3,77.1463,8,48.8224,3,3,451
200801081730,-9999,57.6816,3,57.6816,9,44.51,3,3,451
200801081800,-9999,39.7213,3,39.7213,10,29.3324,3,3,451
200801081830,-9999,29.2566,3,29.2566,10,23.6176,3,3,451
200801081900,-9999,19.8212,3,19.8212,10,17.6322,3,3,451
200801081930,-9999,11.818,3,11.818,10,7.02795,3,3,451
200801082000,-9999,9.8755,3,9.8755,10,4.89402,3,3,451
200801082030,-9999,8.03642,3,8.03642,10,4.61577,3,3,451
200801082100,-9999,6.98002,3,6.98002,10,4.30795,3,3,451
200801082130,-9999,6.32735,3,6.32735,10,4.0728,3,3,451
200801082200,-9999,6.22563,3,6.22563,10,4.09206,3,3,451
200801082230,-9999,5.08415,3,5.08415,10,2.92168,3,3,451
200801082300,-9999,5.60775,3,5.60775,10,4.43888,3,3,451
200801082330,-9999,6.70548,3,6.70548,10,6.79872,3,3,451
200801090000,-9999,8.02472,3,8.02472,10,8.28905,3,3,451
200801090030,-9999,8.5193,3,8.5193,10,8.64307,3,3,451
200801090100,-9999,8.55797,3,8.55797,10,8.66434,3,3,451
200801090130,-9999,7.82483,3,7.82483,10,8.38143,3,3,451
200801090200,-9999,6.88653,3,6.88653,10,7.21283,3,3,451
200801090230,-9999,6.61293,3,6.61293,10,6.48686,3,3,451
200801090300,-9999,8.10751,3,8.10751,10,8.61447,3,3,451
200801090330,-9999,9.56022,3,9.56022,10,9.65459,3,3,451
200801090400,-9999,10.3174,3,10.3174,10,9.60778,3,3,451
200801090430,-9999,9.07984,3,9.07984,10,10.5141,3,3,451
200801090500,-9999,6.89774,3,6.89774,10,11.097,3,3,451
200801090530,-9999,3.95517,3,3.95517,10,8.86389,3,3,451
200801090600,-9999,1.57437,3,1.57437,10,5.93202,3,3,451
200801090630,-9999,0.724284,3,0.724284,10,4.33529,3,3,451
200801090700,-9999,2.02468,3,2.02468,10,4.31233,3,3,451
200801090730,-9999,5.54496,3,5.54496,10,6.30984,3,3,451
200801090800,-9999,7.74647,3,7.74647,10,8.49198,3,3,451
200801090830,-9999,13.8607,3,13.8607,10,14.6968,3,3,451
200801090900,-9999,21.1276,3,21.1276,10,19.0053,3,3,451
200801090930,-9999,31.5201,3,31.5201,10,22.3702,3,3,451
200801091000,-9999,42.0543,3,42.0543,10,26.3448,3,3,451
200801091030,-9999,58.4634,3,58.4634,10,27.5326,3,3,451
200801091100,-9999,72.316,3,72.316,10,28.4381,3,3,451
200801091130,-9999,81.7645,3,81.7645,10,21.2318,3,3,451
